Year,Decade,EraLabel,IsCrisisYear
2000,2000,Early 2000s Expansion,0
2001,2000,Early 2000s Expansion,0
2002,2000,Early 2000s Expansion,0
2003,2000,Early 2000s Expansion,0
2004,2000,Early 2000s Expansion,0
2005,2000,Early 2000s Expansion,0
2006,2000,Early 2000s Expansion,0
2007,2000,Early 2000s Expansion,0
2008,2000,Great Recession (Subprime),1
2009,2000,Great Recession (Subprime),1
2010,2010,Eurozone Debt Crisis,1
2011,2010,Eurozone Debt Crisis,1
2012,2010,Eurozone Debt Crisis,1
2013,2010,Fiscal Consolidation,0
2014,2010,Fiscal Consolidation,0
2015,2010,Fiscal Consolidation,0
2016,2010,Fiscal Consolidation,0
2017,2010,Fiscal Consolidation,0
2018,2010,Fiscal Consolidation,0
2019,2010,Fiscal Consolidation,0
2020,2020,COVID-19,1
2021,2020,COVID-19,1
2022,2020,Inflation Shock,1
2023,2020,Inflation Shock,1
2024,2020,Post-Shock,0
2025,2020,Post-Shock,0
